resp_id,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,OUTCOME
1,2,3,5,3,3,5,7,6,7,4,4,NA,5,NA,6,5,5,NA,5,3,5,4,4,4
2,2,3,4,1,2,1,3,2,5,3,3,3,NA,5,5,6,5,NA,5,4,4,4,NA,3
3,3,3,3,5,5,5,5,3,6,5,5,5,6,8,NA,NA,NA,7,5,4,2,5,4,3
4,3,5,4,NA,5,1,5,6,5,NA,9,7,6,6,5,5,7,8,4,3,NA,2,4,1
5,NA,8,8,8,10,9,3,3,5,7,4,4,7,8,7,8,7,NA,6,6,NA,5,5,4
6,5,6,NA,1,3,2,4,2,NA,2,0,4,2,2,3,1,0,NA,2,3,1,5,3,5
7,4,4,2,5,5,4,4,3,1,NA,0,4,5,4,NA,4,5,4,NA,3,3,4,3,4
8,8,7,9,8,7,NA,10,10,10,NA,6,5,NA,6,5,5,6,8,6,7,7,8,7,6
9,6,9,7,8,5,6,4,3,4,3,5,NA,6,6,5,6,6,7,8,8,6,NA,NA,8
10,5,5,5,NA,5,2,NA,5,4,5,7,NA,6,5,6,5,5,5,6,4,4,9,8,8
11,9,5,NA,8,7,NA,5,6,7,5,6,NA,8,9,8,5,7,6,4,6,8,5,6,4
12,5,5,4,3,2,NA,3,NA,3,5,4,NA,4,4,2,5,5,5,4,6,4,6,5,6
13,6,5,4,5,5,NA,5,5,5,6,5,6,5,4,4,5,5,5,7,6,6,NA,NA,6
14,NA,3,3,6,5,5,1,5,4,5,4,4,0,3,1,2,NA,5,4,NA,3,3,1,1
15,5,7,7,5,5,5,NA,5,5,3,5,NA,4,5,6,5,5,8,NA,5,5,5,3,3
16,7,7,7,8,6,7,9,7,8,8,NA,5,9,9,NA,NA,7,7,6,7,6,5,3,5
17,5,4,6,5,5,4,8,NA,7,6,NA,5,4,4,2,4,NA,1,6,6,5,5,5,8
18,NA,8,9,4,5,4,8,9,NA,10,9,10,5,4,4,6,4,5,5,6,5,NA,5,5
19,6,7,6,7,5,5,NA,8,NA,5,9,8,6,5,5,5,5,5,NA,5,4,5,4,5
20,4,4,NA,3,2,4,5,4,5,2,NA,2,2,NA,2,3,3,3,5,4,2,5,5,5
21,8,4,5,5,5,5,2,5,NA,4,5,5,5,5,3,5,5,5,NA,5,5,2,NA,5
22,10,10,NA,10,10,10,10,9,10,8,NA,8,5,3,3,5,NA,4,2,5,5,3,2,2
23,5,5,5,6,8,7,5,4,5,5,5,2,7,7,7,NA,6,5,NA,8,7,5,NA,3
24,8,8,NA,5,5,7,5,7,5,5,5,5,4,4,4,NA,3,3,NA,5,5,1,3,5
25,8,10,10,10,8,10,NA,10,9,9,8,10,5,5,NA,6,6,7,7,NA,8,5,6,5
26,1,2,3,NA,NA,5,3,2,3,5,2,3,5,6,NA,3,5,4,4,5,4,5,7,4
27,9,10,10,8,6,8,NA,NA,NA,7,9,6,1,3,1,4,4,2,4,3,2,2,5,4
28,NA,4,5,5,4,NA,7,8,7,10,9,9,9,6,10,NA,10,10,9,7,7,8,6,5
29,5,6,5,6,6,NA,8,9,NA,8,9,7,7,8,7,9,10,6,5,6,5,NA,8,7
30,5,7,8,NA,4,5,8,8,8,10,10,10,NA,NA,3,6,6,5,3,4,4,6,5,4
31,NA,4,0,4,3,5,5,4,5,5,5,5,10,8,9,NA,10,10,NA,7,5,5,5,5
32,6,6,6,6,NA,5,4,4,4,2,4,4,5,4,4,2,0,4,NA,3,3,NA,3,2
33,5,5,5,4,NA,2,4,4,3,5,3,4,4,4,4,5,5,NA,6,NA,5,6,5,5
34,NA,2,1,3,NA,2,3,2,5,6,9,8,3,2,1,4,NA,4,5,4,3,3,3,2
35,4,5,5,5,4,4,3,5,3,4,5,NA,NA,8,5,6,6,5,4,5,5,NA,5,6
36,NA,6,5,5,6,4,5,6,6,7,NA,7,6,9,7,6,7,5,6,NA,5,4,5,5
37,6,7,7,9,8,5,5,1,3,NA,NA,NA,5,5,5,2,1,1,5,3,4,2,2,3
38,3,NA,4,5,3,4,4,4,3,3,2,3,NA,NA,0,3,2,2,4,5,4,5,5,6
39,10,6,5,7,7,NA,2,4,4,3,4,5,8,NA,NA,5,7,6,7,5,5,5,4,5
40,5,NA,5,7,5,6,5,5,6,7,NA,5,5,6,5,6,5,NA,5,6,6,4,5,5
41,9,7,6,NA,6,5,NA,NA,5,5,5,7,5,7,6,7,7,8,8,9,9,9,9,9
42,NA,5,6,3,NA,5,7,6,5,5,5,5,6,7,6,NA,6,5,4,6,6,5,6,7
43,7,6,5,0,1,4,5,3,5,6,9,9,9,8,7,NA,NA,7,5,NA,5,6,7,8
44,NA,7,7,5,3,3,5,3,3,3,5,5,2,5,NA,3,3,3,NA,5,4,2,0,1
45,NA,3,NA,6,6,5,8,9,7,6,8,7,5,4,3,NA,7,10,7,6,6,6,5,6
46,6,NA,6,5,5,3,5,4,6,4,5,5,3,4,3,6,5,NA,3,5,2,NA,2,3
47,5,5,6,7,8,5,6,NA,NA,8,5,6,2,3,2,5,4,3,NA,4,4,5,5,5
48,6,NA,5,5,5,5,7,9,7,8,7,6,7,9,8,6,5,NA,5,NA,5,5,4,5
49,4,4,4,6,7,5,5,4,2,6,NA,4,NA,6,5,6,6,5,5,NA,6,5,4,5
50,5,6,5,6,5,NA,6,6,7,9,9,6,6,5,8,5,6,NA,5,5,5,NA,5,6
51,4,5,5,3,3,NA,4,6,7,1,4,3,6,5,6,7,NA,7,5,5,5,8,NA,9
52,5,6,6,5,5,5,2,3,3,1,2,2,NA,5,7,7,NA,8,5,NA,7,8,5,6
53,6,7,NA,6,8,6,5,5,5,5,3,NA,3,5,NA,2,4,3,8,8,7,7,10,8
54,3,6,2,2,1,1,5,3,4,2,NA,5,4,NA,4,5,NA,5,2,5,3,3,2,4
55,10,10,9,9,NA,9,3,4,4,6,5,6,6,5,NA,1,4,5,NA,3,3,5,4,7
56,5,6,6,5,4,5,5,NA,6,6,5,6,6,6,5,NA,NA,5,4,2,2,4,5,4
57,5,4,3,3,4,4,2,3,2,3,3,3,4,NA,4,5,NA,3,8,6,6,NA,6,6
58,5,5,6,4,5,6,6,NA,7,5,8,NA,4,7,NA,6,6,5,5,4,5,2,1,2
59,5,4,4,4,3,4,5,5,5,2,NA,1,5,3,2,5,5,3,4,NA,5,NA,5,5
60,5,5,5,6,5,5,5,NA,3,7,7,7,4,NA,4,NA,5,7,8,9,7,9,8,8
61,7,6,NA,8,7,7,6,9,NA,6,6,5,2,2,2,0,0,0,NA,3,4,2,3,4
62,4,2,2,5,5,5,5,5,5,5,5,4,3,5,NA,5,4,NA,1,3,NA,5,4,4
63,6,NA,6,5,8,NA,8,7,7,8,6,8,3,3,3,NA,6,4,0,2,0,3,3,2
64,5,3,4,5,5,5,5,7,NA,NA,6,7,NA,7,6,7,9,7,5,5,4,6,6,7
65,5,5,4,6,6,NA,3,4,1,NA,3,4,NA,4,5,5,5,6,3,4,5,5,5,5
66,4,5,4,4,5,5,1,3,1,5,NA,5,NA,5,3,7,7,6,5,NA,6,7,8,6
67,3,5,3,0,1,0,5,4,3,2,6,4,5,5,NA,5,4,5,NA,4,1,7,NA,6
68,6,NA,6,6,5,8,7,7,NA,4,5,NA,1,0,2,1,1,1,4,4,5,4,4,2
69,5,3,2,5,NA,4,4,5,3,5,NA,5,5,4,5,4,5,4,5,5,5,NA,5,4
70,7,6,8,7,8,5,10,8,10,NA,8,8,8,6,6,10,NA,7,5,NA,5,2,4,4
71,4,NA,5,3,3,3,3,2,NA,NA,4,3,5,4,5,5,5,5,2,3,4,3,1,3
72,4,4,2,4,2,2,NA,3,5,0,0,0,5,2,3,5,5,NA,NA,4,4,4,5,5
73,5,6,5,6,NA,5,7,7,5,9,9,8,5,4,3,5,6,5,5,NA,6,NA,5,3
74,NA,9,8,8,7,6,3,4,5,4,6,5,1,0,1,2,2,0,NA,5,5,NA,5,5
75,9,6,NA,5,5,7,5,8,7,5,5,6,5,4,5,7,7,7,6,6,6,NA,NA,6
76,9,8,7,8,7,8,6,7,7,5,NA,8,NA,8,7,8,6,6,6,5,5,4,NA,5
77,5,5,NA,5,6,6,5,7,7,3,3,2,2,0,1,1,NA,0,5,5,4,5,NA,5
78,2,0,2,0,NA,2,1,NA,3,1,1,0,1,0,3,3,NA,5,5,5,5,6,5,5
79,5,6,5,NA,NA,8,2,5,5,5,2,4,0,0,0,NA,5,4,1,0,0,3,3,4
80,NA,5,4,NA,5,5,7,7,10,4,NA,5,7,7,7,8,7,8,7,8,8,7,7,9
81,5,6,5,4,5,NA,4,5,5,NA,5,5,5,4,5,4,2,NA,10,8,8,6,8,9
82,9,7,8,10,9,5,5,3,2,3,1,NA,NA,6,5,7,8,NA,4,2,4,5,4,2
83,7,8,NA,10,7,8,7,8,7,6,6,7,NA,5,5,5,NA,5,7,6,6,9,7,8
84,7,6,6,6,5,5,4,NA,3,3,5,2,4,5,6,5,NA,6,5,6,6,6,NA,3
